ABIS CAN, Abis Canadensis-Pinus Canadensis, Hemlock Spruce\1
CALC-L, Calcarea Lactic\221
221 ,4   ,4   ,16  ,16  
CALC-LAC, Calcarea Lacto-Phosph\222
222 ,2   ,2   ,8   ,8   
CALC-M, Calcarea Mur - Calcium Chloratum, Rademacher's Liquor\223
223 ,8   ,8   ,32  ,32  
CALC-OS, Calcarea Ostrearum, Oyster Shell*\224
224 ,52  ,52  ,233 ,233 
CALC-OV, Calcarea Ovorum - Ova Tosta, Toasted egg-shells\225
225 ,4   ,4   ,16  ,16  
CALC-O, Calcarea Oxal.\226
226 ,1   ,1   ,4   ,4   
CALC-P, Calcarea Phosphorica, Calcium Phosphate*\227
227 ,91  ,99  ,408 ,377 
CALC-PIC, Calcarea Picricum\228
228 ,1   ,1   ,4   ,4   
CALC-PIR, Calcarea Pirata\229
229 ,5   ,6   ,24  ,20  
CALC-R, Calcarea Renalis, Lapis Renalis\230
230 ,3   ,3   ,12  ,12  
CALC-SIL, Calcarea Silicata, Silicate of Lime\231
231 ,29  ,30  ,118 ,118 
CALC-S, Calcarea Sulphurica, Calcium Sulphate (Sulphate of Lime - Plaster of Paris)*\232
232 ,53  ,53  ,210 ,210 
CALEN, Calendula Officinalis, Marigold*\233
233 ,59  ,68  ,273 ,237 
CALOTROPIS, Calotropis or Madura Album, Madar Bark\234
234 ,11  ,13  ,52  ,44  
CALTHA, Caltha Palustris, Cowslip\235
235 ,13  ,13  ,52  ,52  
CAMPH, Camphora, Camphor*\236
236 ,76  ,82  ,324 ,300 
CAMPH-AC, Camphoric Acid\237
237 ,3   ,3   ,12  ,12  
CAMPHORA MON., Camphora Mono-Bromata, Mono-Bromide of Camphor\238
238 ,11  ,14  ,67  ,49  
CANCH, Canchalagua, Erythrea Venusta - Centaury\239
239 ,15  ,16  ,64  ,60  
CAN-I, Cannabis Indica, Hashish\240
240 ,77  ,77  ,328 ,328 
CAN-S, Cannabis Sativa, Hemp*\241
241 ,50  ,53  ,218 ,206 
CANTH, Cantharides, Spanish Flies*\242
242 ,118 ,118 ,487 ,487 
CANTHARIDIN, Cantharidin\243
243 ,1   ,1   ,4   ,4   
CAPPARIS CORIACCEA, Capparis Coriaccea\244
244 ,4   ,4   ,16  ,16  
CAPS, Capsicum, Cayenne Pepper*\245
245 ,84  ,85  ,355 ,351 
CARB-AN, Carbo Animalis, Animal Charcoal*\246
246 ,67  ,71  ,290 ,273 
CARB-T, Carbon Tetrachlorid\247
247 ,2   ,3   ,12  ,8   
CARB-V, Carbo Vegetabilis, Vegetable Charcoal*\248
248 ,180 ,180 ,732 ,732 
CARBOLICUM AC, Carbolicum Acidum, Phenol - Carbolic Acid\249
249 ,56  ,63  ,255 ,227 
CARBONEUM, Carboneum, Lampblack\250
250 ,2   ,2   ,8   ,8   
CARBONEUM HYDR, Carboneum Hydrogenisatum, Carburetted Hydrogen\251
251 ,9   ,9   ,40  ,40  
CARBONEUM OXY, Carboneum Oxygenisatum, Carbonous Oxide\252
252 ,24  ,27  ,116 ,101 
CARBONEUM SULPH, Carboneum Sulphuratum, Alcohol Sulphuris - Bisulphide of Carbon\253
253 ,60  ,65  ,278 ,260 
CARDUUS BEN, Carduus Benedictus\254
254 ,0   ,0   ,0   ,0   
CARDUUS, Carduus Marianus, St. Mary's Thistle\255
255 ,48  ,48  ,199 ,199 
CARLSBAD, Carlsbad, The Waters of the Sprudel Springs\256
256 ,26  ,30  ,121 ,105 
CASCARA SAG., Cascara Sagrada - Rhamnus Purshiana, Sacred Bark\257
257 ,10  ,10  ,40  ,40  
CASCARILLA, Cascarilla, Sweet Bark\258
258 ,12  ,13  ,53  ,49  
CARCINOSIN, Carcinosin, A Nosode from Carcinoma\259
259 ,5   ,6   ,24  ,20  
CASTANEA, Castanea Vesca, Chestnut Leaves\260
260 ,7   ,8   ,30  ,30  
CASTOR EQUI, Castor Equi, Rudimentary Thumb-nail of the Horse\261
261 ,9   ,11  ,44  ,36  
CASTOREUM, Castoreum, The Beaver\262
262 ,14  ,16  ,70  ,60  
CATARIA, Cataria Nepeta, Catnip\263
263 ,7   ,8   ,34  ,30  
CAUL, Caulophyllum, Blue Cohosh*\264
264 ,31  ,33  ,135 ,127 
CAUS, Causticum, Hahnemann's Tinctura Acris Sine Kali (Potassium Hydrate)*\265
265 ,113 ,117 ,476 ,460 
CEANOTHUS, Ceanothus, New Jersey Tea\266
266 ,19  ,21  ,82  ,74  
CEANTHUS THRY, Ceanthus Thrysiflorus, California Lilac\267
267 ,4   ,4   ,16  ,16  
CEDR, Cedron-Simaruba Ferroginea, Simaba Cedron Seeds (Rattlesnake Bean)*\268
268 ,25  ,28  ,115 ,103 
CENCHRIS, Cenchris Contortrix - Ancistrodon, Copperhead Snake\269
269 ,19  ,19  ,87  ,87  
CENTAUREA, Centaurea\270
270 ,3   ,3   ,14  ,14  
CENTRARIA, Centraria, Iceland Moss\271
271 ,5   ,5   ,20  ,20  
CEPHALANTHUS, Cephalanthus, Button Bush\272
272 ,4   ,4   ,18  ,18  
CEREFOLIUS, Cerefolius\273
273 ,3   ,3   ,12  ,12  
CEREUS, Cereus Bonplandii, A Night-Blooming Cereus\274
274 ,13  ,13  ,54  ,54  
CEREUS SERP., Cereus Serpentinus\275
275 ,7   ,7   ,34  ,34  
CERIUM, Cerium Oxalicum, Oxalate of Cerium\276
276 ,7   ,7   ,28  ,28  
CHAM, Chamomilla, German Chamonile*\277
277 ,151 ,177 ,765 ,641 
CHAPARRO, Chaparro Amargoso, Goat-bush\278
278 ,4   ,5   ,20  ,16  
CHAULMOOGRA, Chaulmoogra, Taraktogenos\279
279 ,2   ,2   ,8   ,8   
CHEIRANTHUS, Cheiranthus, Wall Flower\280
280 ,3   ,3   ,12  ,12  
CHELIDONIN, Chelidonin\281
281 ,5   ,5   ,20  ,20  
CHEL, Chelidonium Majus, Celandine*\282
282 ,77  ,82  ,327 ,307 
CHENOPODIUM, Chenopodium Anthelmunticum, Jerusalem Oak\283
283 ,21  ,22  ,88  ,84  
CHENOPODI, Chenopodi Glauci Aphis, Plant-lice from Chenopodium\284
284 ,22  ,22  ,90  ,90  
CHELONE, Chelone, Snakehead\285
285 ,8   ,9   ,31  ,31  
CHENOPODIUM, Chenopodium Vulvaria\286
286 ,1   ,1   ,4   ,4   
CHIM. MAC., ChimaPhilla Maculata\287
287 ,3   ,3   ,12  ,12  
CHIM, ChimaPhilla Umbellata, Pipsissewa*\288
288 ,41  ,41  ,170 ,170 
CHININUM, Chininum Arsenicosum, Arsenic of Quinine\289
289 ,38  ,40  ,166 ,158 
CHININ MUR, Chininum Mur\290
290 ,3   ,3   ,12  ,12  
CHININ SAL, Chininum Salicyl\291
