influenza grippe
inframammary infra-mammary
infraorbital infra-orbital
ingestion dyspepsia
ingestions dyspepsias
initial anterior
initially anteriorly
injuries lesions
injury lesion
inquiring inquisitive
insane deranged
insanity psychopathy, derangement
insatiable bulimia, voracious
insensibility apathy, anesthesia, indifference, torpor
insensible indifferent, comatose, apathetic, anesthetic
inside indoors
insolent impudent
instep metatarsal, metatarsus
insufficiency addison's
intelligent precocious
intemperance debauch
intemperate immoderate
intemperence alcoholism
intense excruciating
intercourse lovemaking, coitus, dyspareunia, coition, venery, venery
intermittent ague
interrupt abort
interrupted aborted
intestinal enteroptosis, enteritis, helminthiasis, alimentary, ascarides, borborygmi, ascaris, duodenal
intestine ileo-cecal, ileum
intolerably insufferably
intolerance photophobia
intonation timbre
intoxicated besotted
intoxication inebriety
intraocular intra-ocular
introspection introversion
introverted introspective
inversion entropium
inveterable inveterate
inveterate inveterable
ioiocaecal ileo-cecal
irate indignant
irrational incoherent
irrationality incoherency
irregular cheyne-stokes
irritability erethism, erethrism, erithism
irritable snappish
irritated vexed
irritating vexatious
irritation indignation, vexation
ischemia necrosis
ischemic necrosed
ischias sciatica
isolated alone
isolation solitude
italica pellagra
itch scabies, scabies, tinea, tinea
itching pruritus
ivy rhus
jail typhus
jaundice jaundices, jaundiced, icterus
jaundiced jaundice, jaundices
jaundices jaundice, jaundiced
jaw lockjaw, masseter, maxillae, trismus
jealous possessive
jerking subsultus
jock tinea
join conjoined
joining confluent
joint articular, synovial
junction symphysis
just climaxis
keep retain
keeping retaining
kept retained
kidney nephritic, nephritis, bright's, glomerular, lithotomy, uremic
king's scrofula, strumous
kneecap patella, patellar
kneecaps knee-caps
knobs nodes
labor parturition
labored dyspnea
lacerating tearing
laceration tear
lachrymate weep
lachrymates weeps
lachrymating weeping
lachrymation tearful, tearfulness, tears
lack anuria, absence, asystole, apyrexia, asystolia
lacking absent, enervated
lamenting pining
land werlhoff's, werlhoffii
large polyuria, bullae, ileo-cecal
laryngitis croup
larynx glottis
lassitude prostration
lasts persists
late tardy
lateness tardiness
lateralis torticollis, wry, wry
laughter hilarity
lavish copious
lavishly copiously
laziness indolence
lazy indolent, slothful
lead painter's, plumbism, precede, preceded
leading preceding
leads precedes
leak exudate
leakage extravasation
leakages extravasations
leaking exudation
leakings exudations
leaks exudates
lean scrawny
lecturing lectophobia
leg crural
leishmaniasis kala-azar
lengthwise longitudinal
lepra psoriasis, leprosy
leprosy lepra, pellagra
lesbian homosexuality
lesion chancre
lesions chancres
lessen palliative, remit
lessening remittent
lessens abates
lethargic slothful, listless
lethargy lassitude, listlessness
leucemia leukemia, leucocythemia
leucocythemia leukemia
leucorrhaa leucorrhea
leucorrhea leucorrhaa
leukemia hodgkin's, leucocythemia
lewd libidinous
liability predisposition, proneness
liable predisposed, prone
licentious libidinous
lids trachoma
ligaments sinews
light photophobia, photophobia
lighted luminous
lightning-like fulgurating
like tympanic
likely inclining, inclined
limp flaccid
limpness flaccidity
line linea
linger tarry
link conjoined
lip labium
lips labia
liquify colliquative
listlessness ennui
lit luminous
little scanty
live clinkers
lively vivacious
liver moth-spots, hepatic, portal, chloasma, chloasmata
loath averse
loathing contempt
lockjaw tetanic, tetanus, trismus
loin ilium
lombardy's pellagra
lonliness solitude
loquacious garrulous, talkative
loss alopecia, anaphrodisia, aphonia
loud stertor, stertorous
lounges loafs
loving amorous
low dejected, low-fever
lower pyloric, pylorus
lumbricoid lumbricoides
lumbricoides lumbricoid
lupus tetter
luschka's adenoid, adenoid, adenoids, adenoids
lustful lascivious, libidinous
lustfulness lasciviousness
lustrous waxen, waxy
lying recumbent
lying-in oversleeping
lympadenitis lymphadenitis
lymph adenitis, follicular
lymphadenitis scrofula
lypothymia melancholia, melancholy
lypothymiac melancholic
maculosus werlhoff's, werlhoffii
mad lyssophobia
made vitiated
maidism pellagra
main principal, prominent, corpus
mainly principally, prominently
maintain retain
maintained retained
maintaining retaining
malaria dumb-ague
malice spite
malicious spiteful
manganese mangan.
marsh's ex-ophthalmic, exophthalmic
mass corpus
masturbation onanism
matted plica
mature precocious
maze labyrinth
maze-like labyrinthine
mazoitis mastitis
meager scanty
measles exanthemata
media tympanitis
medial ulnar
meditations reveries
meditative introspective
meibomian chalaza
melancholia lypothymia
melancholic morose
melancholy moroseness, somber
melanoderma chloasma, moth-spots, chloasmata, liver-spots
melasma moth-spots, liver-spots, chloasmata, chloasma
mellitus diabetes
melt colliquitine, colliquative
membrana membranes
membrane schneiderian
membranes membrana
memory recollection
menancholy lypothymia
menopause climacteric, climaxis, menopausal
mensiom amenorrhea
menstrual pms
menstruation dysmenorrhea, amenorrhea, catamenia
mental psychic, psychical
mercurial mercurical
mercury hydrargyrum
merging confluent
metasternum xiphoid
micturate urinate
micturates urinates
micturating urinating
micturation urination
migraine hemi-crania, hemicrania, megrim
milk lactic, galactorrhea, tetter, tinea, tinea
milk-skin leucoderma
milkblotch tetter
minded amnesic
mirth hilarity
miscarriage abortion
miscarried aborted
miscarry abort
