disinfectant 1
disinterested 3
dislikes 1
dislocated 1
dislocation 1
dislodge 1
dislodged 1
disobedient 3
disorder 0
disordered 0
disorders 0
disorganization 3
disorganized 3
displaced 0
displacement 0
displacements 0
disposed 0
disposition 3
disregard 3
dissatisfied 3
dissecting 1
disseminated 0
dissension 3
dissipated 1
distance 2
distant 2
distaste 3
distended 1
distending 1
distensive 1
distented 1
distention 1
distinct 1
distinctly 1
distinguish 1
distinguishable 1
distorted 1
distortion 1
distraction 3
distress 3
distressed 3
distresses 3
distressing 3
distribution 0
distrust 3
disturbance 0
disturbances 0
disturbed 3
disturbing 0
disturbs 0
diuresis 1
diuretic 1
diurnal 2
diverging 0
diversion 0
diverting 0
divided 0
divine 0
dizziness 1
dizzy 1
do 0
does 0
doesn't 0
dog's 1
dogs 2
doing 0
dolens 1
domestic 0
domineering 3
don't 0
done 0
doors 2
doped 1
dorsal 1
dorsalis 1
dorsum 1
doses 0
double 0
doubled 0
doubling 0
doughy 1
down 0
downcast 0
downstairs 2
downward 0
downwards 0
dozing 1
draft 2
drafts 2
drag 0
dragged 0
dragging 0
dragging-down 1
drags 0
drain 1
drastic 0
draught 2
draughts 2
draw 0
drawing 0
drawing-down 1
drawing-pain 1
drawn 1
draws 0
dread 3
dreads 3
dream 3
dream-like 1
dreaming 3
dreams 3
drenched 1
drenching 1
dressing 1
dribbles 1
dribbling 1
dried 1
dried-up 1
dries 1
drink 2
drinkers 2
drinking 2
drinks 2
dripping 1
drive 0
driven 3
drives 0
driving 0
drooling 1
droop 1
drooping 1
drop 1
dropped 1
dropping 1
drops 1
dropsical 1
dropsies 1
dropsy 1
drowning 3
drowsiness 1
drowsy 1
drug 0
drugging 0
drugs 0
drum 1
drunkard 3
drunkards 3
drunken 3
drunkenness 3
dry 1
drying 1
dryish 1
dryness 1
duct 1
ductless 1
ducts 1
due 0
dull 3
dull-looking 1
dullness 1
dumb 0
dumb-ague 1
dung 1
duodenal 1
duodenitis 1
during 0
dusk 2
dusky 1
dusky-blue 1
dust 2
duties 0
duty 0
dwarfed 1
dwarfish 1
dwell 0
dwelling 2
dwells 0
dwindling 0
dying 1
dyscrasia 1
dyscratic 1
dysenteric 1
dysentery 1
dysmenorrhea 1
dyspareunia 1
dyspepsia 1
dyspepsias 1
dyspeptic 1
dyspeptics 1
dysphagia 1
dyspnea 1
dysuria 1
each 0
ear 1
ear-wax 1
earache 1
